Zip,HOMEM,LA/RO,FORD,BUICK,CHEVR,DODGE,PORSC,INTER,ME/BE,JEEP,GMC,BMW,POLAR,KAWAS,HA/DA,VOLKS,CHRYS,VOLVO,LINCO,CADIL,NISSA,YAMAH,HONDA,TOYOT,AUDI,SUBAR,CA/ON,TESLA,MAZDA,FREIG,MITSU,LEXUS,HYUND,KIA,RAM,INFIN,ACURA,Median Income Per Person
12953,173,6,1733,221,1397,350,5,63,17,436,559,53,108,35,132,59,93,76,28,28,229,156,471,634,36,505,197,3,47,41,86,19,293,230,326,8,11,59191.0
12866,153,218,2727,295,2356,450,250,82,738,1541,728,1057,113,90,305,912,290,502,148,283,1342,207,4684,3586,745,2295,264,252,645,49,170,567,942,691,498,153,375,96678.0
14219,51,6,1843,161,1647,268,6,18,26,531,348,60,64,32,156,126,109,26,73,94,325,63,449,645,33,375,69,8,132,28,38,47,255,302,261,20,15,69892.0
11232,0,27,648,9,255,93,40,28,228,161,100,145,1,11,15,118,47,67,38,47,353,16,797,1238,51,193,2,41,98,58,42,120,152,95,89,49,85,79599.0
13126,289,20,2864,386,4719,938,23,136,129,2095,640,201,425,86,375,329,418,124,151,169,1177,240,1161,1696,114,1202,454,27,392,106,250,96,500,763,970,51,59,60475.0
13865,81,6,791,71,859,196,3,30,20,263,231,52,48,41,86,54,73,22,22,41,236,45,310,755,9,302,79,7,42,3,40,19,192,143,141,5,14,66906.0
11542,23,281,1469,88,1514,449,183,79,1019,1508,380,882,15,50,128,462,136,331,128,202,1680,72,2829,2457,393,1187,17,197,419,49,93,658,659,220,369,150,421,91774.0
11789,28,20,574,30,584,178,13,6,80,502,154,94,11,27,77,117,63,45,45,42,432,29,646,728,55,341,11,27,137,7,35,61,419,152,160,46,49,123794.0
14589,84,6,1058,111,1634,258,7,50,37,384,326,42,170,37,143,100,121,25,33,47,253,90,506,489,34,313,87,7,89,30,31,29,157,109,231,7,16,85609.0
12981,60,0,335,27,316,84,2,27,5,101,180,16,40,6,70,4,18,8,6,12,93,69,158,223,7,154,50,1,8,1,30,0,84,36,115,2,4,74830.0
12918,78,1,369,33,298,68,0,16,5,97,129,10,24,8,52,17,16,11,4,14,102,46,182,215,10,136,44,2,8,5,18,3,101,56,100,3,5,87045.0
10549,12,158,895,70,1055,127,175,22,429,727,250,825,24,20,62,280,53,226,38,93,406,25,1891,1894,433,942,24,254,269,19,57,466,305,143,161,64,332,119333.0
11704,40,91,2767,290,3194,939,69,469,876,2058,616,760,41,86,266,583,306,182,235,361,2910,138,4228,3400,258,966,21,141,641,217,135,532,2026,853,732,281,607,120147.0
12037,23,9,390,24,425,81,12,7,25,122,116,70,8,20,59,105,30,49,13,18,108,20,316,570,36,318,38,8,52,5,12,18,72,74,41,7,25,86650.0
14433,71,2,688,67,878,167,0,52,18,234,162,20,41,16,71,41,63,10,23,36,142,36,179,176,20,107,59,2,27,84,18,16,95,89,114,6,7,62443.0
14025,22,3,539,53,641,78,6,8,10,184,135,35,43,17,63,45,15,7,10,19,80,58,170,237,18,182,35,8,35,1,7,12,67,52,106,2,10,105303.0
11568,1,154,209,3,140,43,164,9,556,162,28,371,1,4,10,35,14,33,24,77,52,21,113,121,135,50,1,172,25,3,4,160,27,12,23,18,58,250001.0
14075,168,81,6721,681,5893,885,54,52,247,2570,1231,516,250,105,466,733,411,167,313,366,1401,276,2251,3101,240,2114,222,60,608,141,162,238,1102,1160,984,97,176,76691.0
14141,85,8,1454,112,1326,299,4,35,33,392,236,28,134,36,162,116,83,27,36,45,165,81,314,420,24,360,102,7,65,21,19,12,137,158,292,10,14,59948.0
12498,26,27,273,14,182,92,43,29,84,221,81,133,7,13,22,194,31,105,10,13,182,18,401,585,114,732,22,49,64,3,10,64,151,81,60,12,23,68438.0
14080,55,1,699,51,793,185,5,15,9,240,236,35,88,40,100,66,44,11,17,44,104,63,207,273,15,248,58,4,52,16,17,15,74,88,182,4,6,67250.0
12822,99,5,697,54,828,199,2,15,21,301,209,45,85,39,120,70,60,32,12,28,236,83,609,470,24,265,104,4,70,5,65,15,256,157,221,4,12,75000.0
14477,28,2,277,25,414,79,1,12,2,84,91,15,25,8,37,7,20,5,8,13,44,19,96,102,8,48,24,1,14,8,5,10,24,40,42,1,6,93021.0
12015,35,3,426,24,410,89,15,33,36,145,105,59,10,15,59,96,31,39,30,29,124,26,278,282,42,347,29,15,48,11,7,29,93,82,81,11,16,83197.0
13903,77,23,1224,168,1644,343,27,32,110,586,436,249,62,57,127,212,132,98,77,130,765,70,1147,2031,87,669,129,23,141,19,105,103,649,421,226,29,64,58100.0
10509,41,48,1601,100,1794,384,73,72,436,1022,538,540,51,51,173,424,88,170,70,138,672,74,2939,1939,320,1705,83,115,382,51,80,281,672,319,400,75,340,117586.0
14580,201,99,4576,943,7214,921,147,68,563,2301,1524,954,303,119,462,897,518,465,239,543,2813,515,4731,4795,460,2987,151,207,1060,166,228,681,1453,1139,744,259,434,90799.0
12477,107,35,1547,137,1572,678,38,108,182,1150,726,272,125,87,316,613,273,157,57,113,878,132,1435,1590,153,1404,111,82,253,104,35,130,694,485,589,40,81,71094.0
14086,118,57,4092,665,5855,731,51,98,260,1995,1304,439,136,74,411,636,322,164,222,357,1259,238,1929,2435,231,1304,159,81,508,161,95,258,1060,1138,738,152,182,95283.0
13905,67,23,1379,196,1793,407,35,24,169,543,364,268,43,47,103,279,193,126,82,135,957,55,1476,2566,98,823,79,38,207,25,107,168,759,520,195,57,99,51411.0
11757,82,105,3241,309,3717,1161,60,109,865,2770,588,697,44,126,374,807,381,164,272,394,2629,255,4373,3804,324,1263,23,170,703,137,189,580,2297,1092,924,316,602,117182.0
14042,36,1,616,36,769,207,0,17,4,219,153,15,38,10,104,41,67,2,6,25,86,38,113,160,8,119,56,1,21,36,8,6,61,80,153,3,4,53690.0
13620,35,1,462,24,314,79,0,12,1,80,105,6,64,21,17,46,27,5,1,9,64,51,195,161,2,61,49,0,10,4,25,5,31,38,78,0,0,56462.0
13752,6,2,119,9,93,33,2,6,6,40,34,4,4,9,10,14,6,6,2,4,41,6,53,66,5,70,11,0,7,1,4,6,16,10,28,0,2,64773.0
13459,23,4,300,24,292,92,4,15,8,130,100,29,27,6,48,38,29,32,6,4,73,12,147,158,8,88,30,2,21,6,13,8,50,45,72,4,6,63421.0
11901,154,81,3703,181,3082,840,43,123,442,1390,786,384,21,99,160,411,220,121,181,246,1841,125,3306,3902,175,704,60,85,413,62,156,304,1099,459,529,132,224,78857.0
12020,180,47,3386,451,3388,661,78,79,320,1578,1058,553,192,106,453,710,269,237,110,214,1649,282,4524,3033,292,1797,273,108,563,115,300,283,926,870,568,111,240,100653.0
12077,17,9,631,38,423,79,12,13,96,229,115,239,16,10,38,168,51,62,23,34,278,27,872,752,79,452,20,51,119,55,30,73,178,203,55,40,67,131000.0
13036,131,3,1084,106,1895,305,5,41,36,475,296,55,272,58,232,151,133,32,48,67,342,129,415,506,30,276,101,7,147,12,91,23,200,255,322,6,20,79681.0
14468,121,14,1934,394,3713,525,21,48,131,865,950,172,179,92,275,199,215,58,82,164,656,177,1349,1470,98,682,146,31,329,31,72,124,379,489,441,53,92,91485.0
14224,124,43,5407,838,6611,987,25,99,152,2357,1284,281,178,90,495,534,376,96,246,346,1480,187,2049,2570,120,1609,184,59,581,92,124,173,1161,1342,950,70,128,76475.0
14526,61,30,1505,309,2044,253,67,34,216,768,524,339,62,37,127,354,176,202,96,156,936,113,2318,2129,186,1208,59,103,421,59,74,308,464,493,220,121,197,107557.0
12058,14,3,188,13,248,67,1,3,21,65,66,26,23,19,50,34,16,5,6,9,60,7,117,116,7,108,23,0,17,3,6,5,35,39,44,5,5,80608.0
14031,49,69,1152,182,1381,219,75,30,199,512,358,362,65,29,101,203,105,95,75,151,313,88,587,979,92,358,55,48,152,40,21,128,255,271,193,67,67,91927.0
12932,19,0,332,21,171,68,3,16,3,88,31,15,15,8,16,11,16,10,3,4,59,10,65,117,6,76,34,0,5,11,12,3,15,26,97,0,1,57813.0
12901,378,35,2951,302,2604,610,33,109,142,1084,952,231,110,66,328,241,211,153,54,127,1214,301,2154,2406,154,1473,289,47,207,112,305,86,1379,858,753,25,80,57811.0
12603,79,88,3034,299,2706,809,85,142,804,1575,714,1132,73,105,312,805,299,367,143,328,2085,146,5926,3808,370,2659,128,202,975,102,126,394,1421,911,668,148,894,100761.0
13118,64,2,702,63,996,182,6,29,17,234,205,18,82,32,100,56,65,23,25,27,235,46,283,367,20,290,94,3,41,114,15,13,101,90,213,4,8,66202.0
12401,101,63,2313,230,2261,897,42,129,460,1547,792,523,59,103,253,914,320,263,92,141,2038,146,2800,2967,252,2190,147,101,372,59,82,224,1303,848,784,71,215,65289.0
12491,8,5,197,8,134,62,3,8,24,108,74,27,9,7,29,89,21,21,8,15,119,12,193,215,34,196,13,10,30,7,2,20,74,45,70,1,20,79861.0
11783,38,78,1520,190,1458,449,66,34,472,1529,385,406,30,49,158,391,166,95,188,268,1297,139,1974,1579,169,725,12,95,531,36,78,379,1013,403,506,171,382,157983.0
13031,64,20,1183,191,1705,314,23,13,145,860,345,199,78,37,166,317,163,141,131,98,640,81,1339,1546,143,1170,74,34,414,24,94,148,375,406,304,56,127,87663.0
11940,23,47,882,26,596,113,20,24,111,383,146,133,15,30,95,95,43,36,46,54,235,61,408,540,67,191,16,37,97,17,23,64,194,91,176,32,42,128598.0
14850,149,49,2311,169,2267,531,111,96,362,854,392,633,56,66,128,1016,275,1030,100,129,1541,110,4620,5403,553,3798,187,249,686,32,126,320,1038,732,369,51,189,64911.0
11729,41,94,2075,148,2074,545,50,105,635,1415,377,643,31,56,176,435,204,125,208,289,2064,82,3274,2807,229,618,14,183,469,57,104,451,1511,574,540,255,509,124704.0
13760,204,30,2726,471,3900,798,39,50,255,1329,905,592,76,106,283,526,378,232,177,353,2181,173,3167,5580,174,1783,282,51,376,33,249,278,1714,1167,466,69,170,60690.0
12061,37,15,843,63,906,127,26,33,98,384,210,173,56,27,89,197,70,55,40,69,381,47,1156,890,110,481,42,38,221,4,55,82,249,311,152,51,88,112488.0
14094,302,52,5345,1283,10174,1425,55,213,212,2370,2246,382,355,255,850,772,630,116,271,531,1686,334,2398,3000,144,1124,329,60,434,42,161,226,1099,912,1001,100,126,69489.0
14059,75,21,1804,193,1633,295,33,46,106,527,498,138,100,27,177,142,128,50,79,138,281,81,497,682,67,438,100,25,130,53,24,63,247,293,304,28,50,87686.0
14715,38,0,393,69,483,158,4,12,2,173,125,8,18,9,38,16,38,1,13,16,77,30,65,124,3,47,46,3,13,3,8,1,42,74,66,2,3,47177.0
12182,55,17,1345,94,1321,286,14,29,83,532,279,118,44,34,184,190,128,39,62,85,635,67,1206,785,54,487,56,15,147,22,119,93,286,455,160,50,73,54190.0
12436,9,1,52,7,63,19,2,2,4,18,90,8,5,0,23,12,4,3,4,2,22,3,34,35,6,53,7,3,4,1,1,2,11,14,18,3,3,51250.0
11751,36,49,1761,65,1306,282,49,138,289,952,283,270,35,31,104,276,115,72,115,117,764,70,1296,1186,131,439,7,69,294,110,41,176,746,331,303,75,222,114185.0
13021,205,29,3370,406,5563,850,36,215,184,1808,981,249,235,134,379,325,399,137,210,225,1753,220,2344,2522,153,1667,351,38,362,197,175,153,615,633,800,48,107,56649.0
11779,90,83,3579,201,3307,916,72,85,722,2209,705,579,46,92,364,607,320,134,252,327,2666,139,3680,3435,242,1114,31,201,784,93,237,413,2301,1117,978,255,435,113355.0
12550,58,103,3867,329,2906,1140,92,176,964,2004,864,1015,60,129,313,688,358,278,269,405,3137,131,5644,5036,350,1746,157,125,654,111,198,541,1648,1382,758,216,857,73148.0
11768,56,249,1589,123,1407,319,233,33,869,1564,419,918,40,64,154,561,134,299,163,220,724,123,1752,1564,513,1295,17,271,524,40,42,470,538,320,382,158,330,162475.0
14894,12,0,162,14,191,62,2,3,7,60,54,7,4,7,17,10,18,3,4,4,109,12,45,65,10,46,23,1,6,0,14,3,36,17,29,2,1,55556.0
14428,60,8,902,190,2015,201,11,50,46,345,384,85,84,30,156,83,109,46,31,69,297,79,685,727,34,406,71,16,164,17,24,53,168,173,171,19,26,79542.0
12814,14,6,221,15,197,22,17,3,41,106,70,39,15,12,31,40,9,15,5,24,38,75,165,149,24,132,32,4,18,2,9,20,47,31,43,2,13,97321.0
12788,15,4,233,14,264,86,6,10,26,116,66,37,32,7,47,36,9,11,10,18,85,14,138,167,13,110,33,5,24,3,18,12,77,56,70,6,21,72875.0
